% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,% Silica Concentrate
"50,58","20,21","2871,64","380,59","394,213","9,98541","1,63623","300,032","307,311","301,034","1,46"
"64,03","6,26","4071,05","405,536","397,476","9,79505","1,63068","302,407","303,221","301,338","1,33"
"49,36","25,87","4081,1374576271","582,373","396,623","9,05392","1,70005","301,224","300,338","301,224","2,5"
"54,27","16,6","1912,29","483,06","378,196","9,51501","1,74346","299,74","293,175","301,438","1,09"
"53,01","20,32","2031,66","552,711","400,395","9,64691","1,75763","300,174","303,442","297,798","4,9194269871"
"52,9","18,04","2922,31","601,581","380,416","9,65407","1,78426","300,098","299,802","299,948","3,71"
"58,62","10,22","756,2666666667","383,911","380,0745","9,76747","1,70361","298,828","295,972","297,949","1,26"
"52,15","21,5","5341,88","581,068","384,104","9,03369","1,73213","298,828","297,225","298,378","4,9066759003"
"64,03","6,26","3599,9","503,614","404,168","9,81407","1,7082","299,487","296,789","299,127","1,02"
"53,04","19,19","1872,79","409,495","395,817","9,71051","1,72607","250,037","250,061","249,406","2,59"
"51,27","22,72","3435,81","577,345","395,089","9,59352","1,7062","300,943","300,178","300,064","1,43"
"52,61","20,24","4019,4","470,68","403,012","9,3977","1,64603","250,013","250,792","251,233","4,15"
"64,03","6,26","3281,25","515,137","396,973","10,0132","1,64215","300,146","294,214","299,927","1,9"
"51,74","23,27","3215,44","577,43","404,336","10,3669","1,72145","300,269","302,939","297,387","2,14"
"64,03","6,26","4194,46","544,867","400,914","9,90897","1,66522","300,302","294,589","302,145","2,18"
"48,05","28,54","2203,61","411,791","380,194","8,955","1,52678","301,974","300,406","300,376","4,4538016869"
"50,37","22,56","4244,38","531,42","381,351","9,60335","1,67488","299,324","301,681","301,727","1,24"
"53,32","18,85",2189,"502,013","407,495","9,78764","1,73846","246,304","250,626","251,328","2,8"
"56,45","13,57","2285,78","395,258","395,345","9,65079","1,76339","250,049","249,858","249,224","1,39"
"64,03","6,26","3271,94","545,687","396,973","9,60363","1,65995","300,237","246,988","299,397","1,62"
"56,47","13,93","1902,61","636,178","415,2822857143","9,69322","1,82004","299,383","297,415","301,558","1,79"
"64,03","6,26","726,1335678392","490,068","398,289","9,44972","1,67013","241,067","273,242","250,371","2,49"
"64,03","6,26","3879,04","332,67","404,105","10,2066","1,58325","298,736","299,084","299,533","1,51"
"53,51","16,52","2189,77","519,908","402,185","9,9708","1,71112","250,114","250,4","250,129","4,36"
"59,78","9,29","2743,7","597,645","400,515","9,52403","1,80295","300,566","296,21","299,607","3,85"
"48,81","25,31","2211,0933333333","373,656","377,4653214286","9,80255","1,72219","299,077","297,028","299,501","1,86"
"55,4","14,93","455,816","371,769","406,853","9,36742","1,6147","248,366","249,314","249,655","4,03"
"58,19","10,84","3768,65","530,273","404,78","9,32258","1,71","249,818","250,422","249,082","3,11"
"57,46","10,8","4306,22","501,984","377,08","10,0387","1,72866","299,227","294,001","300,839","2,08"
"53,25","21,17","719,5702","350,889","409,03","10,0297","1,5211428406","299,32","301,759","299,424","2,88"
"62,51","6,85","3112,2","564,855","388,352","9,11075","1,72481","300,366","307,808","300,772","2,51"
"64,03","6,26","2443,79","459,819","397,204","9,74067","1,61656","299,599","247,342","297,857","1,59"
"56,42","13,11","1894,53","534,455","405,805","9,74771","1,73406","248,928","251,719","252,345","3,0180886427"
"56,08","14,93","3737,66","538,816","401,706","9,91164","1,74048","250,108","251,777","251,088","3,16"
"48,81","25,31","2735,54","443,921","382,99","10,1845","1,70395","298,569","330,232","302,464","1,42"
"58,95","8,94","3960,55","335,693","399,141","9,9444","1,72818","251,279","250,444","246,27","1,9"
"47,9","28,59","4750,53","454,466","385,493","9,80956","1,6582","300,366","315,623","299,202","1,24"
"57,12","13,04","2395,43","369,3077142857","405,2406666667","9,09226","1,5234038936","220,249","221,762","221,154","2,25"
"64,03","6,26","329,347","454,804","402,62","9,16742","1,54734","302,542","248,908","301,465","4,24"
"54,14","14,69","3241,23","434,565","379,9604590164","9,60659","1,65738","298,828","295,575","300,182","2,08"
"54,58","15,38","1776,54","462,606","402,71","9,76985","1,61506","299,335","301,726","299,119","2,58"
"56,41","14,53","4490,04","493,699","400,884","9,41852","1,67504","249,674","250,488","251,73","4,19"
"58,26","12,88","2473,41","272,475","391,619","8,84752","1,5202520388","299,42","299,997","299,183","1,21"
"55,99","15,13","606,087","438,057","382,5603486239","9,72454","1,6858","301,123","302,3","299,048","3,93"
"56,42","12,99","3880,66","419,861","402,261","9,83857","1,73575","247,555","257,684","253,971","3,09"
"64,03","6,26","1041,7106666667","434,4192666667","408,6811111111","10,0891","1,6042226667","295,076","244,264","297,396","1,45"
"58,61","8,99","3684,81","478,057","397,929","10,2753","1,58617","250,433","253,34","249,225","1,24"
"51,94","21,93","4431,53","491,009","406,799","9,84892","1,73843","299,872","301,146","298,169","1,34"
"56,65","14,83","2415,17","549,707","393,408","10,0092","1,74798","250,214","252,767","250,298","4,8001657459"
"53,43","17,09","2355,78","545,019","396,924","9,21629","1,76096","249,771","247,656","249,485","4,04"
"62,51","6,85","3940,76","608,778","410,554","8,79251","1,7147","299,395","302,903","297,348","1,7"
"64,03","6,26","767,0174146341","571,052","397,094","9,68994","1,72465","300,35","250,432","299,52","1,74"
"52,04","16,86","4139,46","437,622","405,461","10,1135","1,68075","301,319","305,089","297,801","1,24"
"64,03","6,26","2572,53","405,085","393,432","9,73199","1,63557","298,828","301,655","300,681","3,1"
"51,62","19,01","3175,92","564,286","377,82","9,99814","1,71599","301,014","301,174","299,867","3,3993090685"
"64,03","6,26","4477,7","586,555","406,4370290503","9,71941","1,70723","249,869","247,012","251,147","1,65"
"55,45","16,76","1395,71","562,353","394,503","10,1286","1,77166","300,407","297,245","298,389","1,83"
"53,48","20,98","2659,76","516,434","400,25","9,53878","1,73098","299,282","301,644","297,331","1,24"
"55,19","16,82","2115,36","507,43","396,942","9,25074","1,75444","250,652","248,983","249,39","1,88"
"55,53","13,32","2059,413660921","419,1976326531","397,680612366","8,7908065424","1,5544831737","299,073","299,217","302,124","1,19"
"61,32","6,08","3218,21","447,42","402,178","9,79902","1,72661","299,329","296,77","300,926","1,42"
"52,33","16,95","3972,4","382,24","398,197","10,1554","1,673","251,014","250,36","248,511","0,94"
"54,49","17,24","2604,05","450,095","379,4918762887","8,7549941729","1,70549","301,358","301,363","300,761","2,72"
"50,99","22,93","3017,17","480,347","399,023","9,88667","1,73974","299,487","299,927","298,828","1,63"
"53,88","17,51","3832,51","602,613","400,517","10,3884","1,72895","300,423","297,042","298,169","3,0026062847"
"52,61","20,24","1049,34","424,408","396,04","9,63831","1,63083","249,936","252,606","249,736","2,85"
"45,71","29,15","4192,03","556,641","392,285","10,2236","1,74633","299,927","296,851","297,07","1,44"
"56,65","13,99","333,7864693878","534,058","398,73","9,50745","1,73437","249,39","255,981","250,928","1,65"
"55,2","16,98","3579,3","567,596","402,979","10,1119","1,70403","251,653","251,323","250,928","1,31"
"52,58","20,42","1881,43","584,957","393,337","9,8697","1,71921","299,75","302,176","297,597","1,99"
"49,08","26,83","6236,92","726,337","406,9915333333","9,050591","1,71004","299,987","299,434","299,068","3,17"
"52,61","20,24","1671,9158715596","520,119","417,4224466572","9,88491","1,66406","250,153","253,305","251,663","1,99"
"55,94","13,85","555,4991846154","558,301","416,132","9,56409","1,72993","300,567","304,487","298,468","2,76"
"46,76","27,94","1302,973","545,874","400,184","9,83889","1,66032","301,153","306,466","298,318","1,87"
"64,03","6,26","3939,38","258,95","403,011","9,82247","1,5293066667","300,032","297,655","298,818","2,04"
"59,54","9,56","1114,46","414,733","398,328","9,5733","1,57176","198,839","197,328","198,736","5,5"
"57,46","10,8","3644,31","483,545","378,8205140845","9,67996","1,71753","299,438","249,545","298,049","2,08"
"57,46","10,8","4009,99","604,137","397,0244861878","9,11822","1,67187","299,437","248,975","301,893","2,08"
"48,81","25,31","2937,98","487,66","402,34","9,72467","1,67848","298,91","302,06","301,901","1,51"
"56,59","11,69","5042,93","527,88","404,029","10,1071","1,73814","301,003","302,818","299,927","3,48"
"52,58","18,63","2148,0225","436,668","404,082","9,41918","1,567","300,528","292,051","302,74","1,92"
"64,03","6,26","4580,26","604,512","406,7942581006","9,75997","1,71379","249,433","250,004","248,023","1,65"
"53,51","16,52","2384,82","582,976","399,895","9,67782","1,77425","249,814","249,517","251,504","3,14"
"55,73","14,36","2036,0458055359","640,8578805681","414,6328410423","10,6603","1,5955621176","299,907","297,153","298,385","1,32"
"49,35","24,9","2768,09","353,317","404,194","10,2807","1,61026","251,049","256,702","250,12","1,07"
"52,61","20,24","1216,2841037851","267,9491117397","401,22665431","9,04878","1,5204515114","212,7043507926","188,9516824843","196,8765646401","5,03"
"59,48","9,1","3883,6","612,649","400,451","10,4598","1,73037","249,913","251,179","249,39","1,5"
"55,1","15,95","2614,75","613,52","384,078","10,0971","1,71301","300,24","296,272","299,141","2,44"
"55,99","13,35","4282,5","546,739","403,371","9,4275","1,71047","299,497","298,54","296,087","1,71"
"48,81","25,31","2840,87","477,019","378,809","10,1289","1,73359","300,529","250,077","297,623","1,17"
"58,26","12,88","2015,25","375,719","378,0931472","8,7539146309","1,71315","299,268","298,766","299,931","0,87"
"64,03","6,26","1125,2652245146","243,5326015038","381,3388121827","9,28716","1,5220966972","291,033","250,0043566879","295,461","1,9"
"54,73","15,69","767,602","558,733","379,457825","9,57618","1,7995","300,402","300,36","302,085","3,47"
"55,4","16,83","4803,61","563,563","406,444","10,4144","1,70317","302,296","293,016","302,686","4,38"
"64,03","6,26","4262,19","510,254","418,1322800441","9,8985","1,65579","250,26","251,612","249,533","1,8"
"56,76","13,34","3331,42","579,964","408,111","9,96301","1,72739","250,488","250,374","248,095","1,32"
"55,73","12,53","3769,75","433,93","417,3859189189","8,97622","1,69953","301,872","299,16","299,262","1,13"
"55,53","13,32","3315,08","473,486","377,5751276596","10,3243","1,69875","299,609","301,382","298,741","1,51"
"57,46","10,8","4125,44","570,216","381,218","10,1277","1,73206","300,155","252,978","299,342","2,08"
"64,03","6,26","4559,62","513,019","390,433","9,95926","1,70159","250,191","252,097","249,448","2,68"
"55,37","16,51","4009,98","592,733","417,7751304348","10,1386","1,69329","299,927","294,142","301,685","3,64"
"64,03","6,26","3401,87","286,648","400,386","9,81161","1,5221929032","299,565","302,621","298,424","1,26"
"49,36","25,87","3845,7","599,365","402,012","10,0649","1,7232","298,77","307,353","296,937","1,32"
"64,03","6,26","1057,6494766355","384,074","401,741","10,0518","1,52691","300,42","297,567","301,685","1,21"
"64,03","6,26","3334,55","531,403","403,86","10,1944","1,64236","296,742","301,148","300,534","1,57"
"59,87","9,99",3898,"578,185","406,304","9,81794","1,69957","300,33","307,45","299,258","3,71"
"64,03","6,26","3951,72","502,823","394,423","9,50052","1,68734","249,938","250,45","251,548","2,7407450255"
"52,41","20,81","5144,56","570,803","388,127","9,64934","1,72195","299,978","299,507","300,601","0,94"
"51,74","23,27","4010,86","524,05","403,253","9,84487","1,70358","300,051","300,484","301,347","2,11"
"52,58","18,63","3343,9673203884","406,032","406,528","9,82804","1,531","300,328","300,974","298,879","1,81"
"64,03","6,26","4156,24","530,83","401,593","10,0617","1,64326","301,685","326,952","298,75","3,32"
"52,61","20,24","865,0115384615","470,559","401,956","9,60923","1,63545","249,829","250,449","251,367","1,81"
"49,91","24,49","3931,24","603,027","400,137","10,0709","1,73304","299,639","304,238","298,691","2,08"
"57,46","10,8","4370,89","644,702","404,0788181818","10,1046","1,7448","298,705","300,085","300,643","4,09"
"55,53","13,32","1724,5765757654","285,4143519222","383,7452993874","9,7865621021","1,6760301997","300,102","290,439","297,987","1,19"
"57,46","10,8","357,795","523,645","409,497","9,9841","1,69819","300,031","250,293","301,267","3,11"
"50,7","23,17","3333,29","493,676","401,019","9,74551","1,69656","300,901","299,196","299,85","4,92"
"52,58","20,42","943,6683333333","498,047","377,9165454545","10,0145","1,64008","300,146","294,434","298,828","1,79"
"48,81","25,31","583,805","457,764","379,361796748","9,94267","1,724","301,245","298,828","298,608","4,65"
"55,87","12,85","1869,07","504,956","401,133","9,6417","1,71387","220,242","215,288","221,269","1,87"
"64,03","6,26","3009,59","429,206","401,791","9,79193","1,7248","298,77","253,929","298,915","1,6"
"49,91","24,49","3094,8896585366","547,042","398,721","9,60987","1,65856","300,99","301,989","300,331","4,41"
"53,51","16,52","2299,11","523,252","399,398","9,93938","1,71606","250,098","249,238","250,962","4,36"
"64,03","6,26","2917,59","541,668","396,495","9,67386","1,6587","298,38","247,569","300,335","1,85"
"55,79","15,52","3443,88","407,091","394,075","9,84092","1,53327","301,011","306,924","299,922","1,67"
"57,46","10,8","3506,71","599,303","401,893","10,4827","1,78616","296,88","300,024","298,452","1,86"
"54,83","15,93","2605,28","413,177","378,4384944649","8,7557856499","1,63129","299,751","295,799","299,027","4,5103237743"
"64,03","6,26","2947,93","428,692","403,633","10,0806","1,62429","299,927","300,316","298,541","1,4"
"46,21","30,37","950,696","468,885","395,573","10,3031","1,59946","301,546","298,201","300,253","1,38"
"57,46","10,8","356,038375","332,8429032258","412,6902580645","10,4087","1,5575365625","249,284","303,064","300,639","1,57"
"56,95","12,94","2710,64","511,432","399,659","9,91088","1,70749","249,435","249,548","248,48","3,6109800719"
"58,26","12,88","2194,18","333,446","377,8171456","8,7543877181","1,67812","300,054","294,676","298,93","1,25"
"49,93","22,17","2350,7","522,071","402,312","9,62563","1,73952","249,469","248,283","249,416","2,41"
"54,1","15,33","1079,5334566431","324,9793072407","402,4232061704","9,59766","1,5625045575","298,917","295,055","301,023","1,34"
"57,46","10,8","2928,38","548,853","402,609","9,84474","1,70245","298,828","250,655","298,925","1,57"
"64,03","6,26","2805,61","489,986","400,281","9,36859","1,68673","250,833","248,473","249,538","3,1"
"52,41","20,81","4085,94","496,24","382,331","9,39954","1,71466","300,063","312,908","297,74","3,2"
"64,03","6,26","2727,21","433,715","399,108","9,62356","1,59524","299,2","252,495","300,337","1,72"
"57,01","12,91","1108,6634360902","482,016","393,002","9,45827","1,73152","251,367","252,572","249,39","1,92"
"48,81","25,31","2391,2651282051","403,729","378,740281768","10,2317","1,61672","300,418","249,226","298,936","1,79"
"64,03","6,26","3743,61","542,874","406,803","9,88204","1,73818","249,951","251,001","249,39","4,79"
"50,7","23,17","3625,09","710,744","405,3437726161","9,43253","1,72803","299,927","300,359","302,122","1,21"
"56,08","14,93","3714,81","426,647","397,15","9,99613","1,58942","248,98","249,803","251,354","4,69"
"52,33","16,95","3236,33","430,844","397,43","9,98463","1,72205","248,462","255,098","249,439",1
"48,81","25,31","4638,34","529,251","380,919","10,0813","1,73352","299,705","297,535","299,482","1,47"
"47,79","27,08","5449,89","559,58","397,158","10,3407","1,67782","250,191","247,804","250,725","1,56"
"56,43","13,32","2110,3","447,019","398,669","9,4425","1,75571","248,785","252,336","252,458","2,64"
"51,34","23,16","3755,87","642,344","384,697","9,95374","1,80963","302,943","307,625","298,177","5,2577253814"
"55,91","14,44","2359,02","430,259","393,55","10,0186","1,58633","250,269","250,11","249,404","3,15"
"57,46","10,8","4329,18","504,392","395,808","10,3838","1,68814","296,315","296,934","299,153","1,79"
"64,03","6,26","3295,55","438,83","408,385","10,0102","1,65938","302,461","249,421","301,534","1,46"
"49,69","26,68","1711,03224","488,292","397,144","9,41844","1,665","299,707","298,161","300,78","1,62"
"64,03","6,26","4352,39","547,485","402,4271329609","9,75556","1,65162","249,578","253,18","248,841","1,54"
56,"13,81","773,95936","428,964","398,751","9,82677","1,74669","300,423","297,235","301,252","1,17"
"53,14","18,04","2152,68","534,61","407,311","9,54065","1,71961","299,697","298,589","299,455","2,92"
"58,54","10,1","3557,23","497,62","404,37","9,76034","1,75806","249,675","252,587","248,071","1,19"
"55,09","16,25","2493,9","487,803","398,667","9,20047","1,74141","251,3","251,243","250,966","1,44"
"64,03","6,26","3227,27","387,39","395,112","9,95506","1,61307","302,015","253,399","301,255","1,25"
"56,96","12,49","4093,7","569,633","400,323","9,36882","1,71554","300,586","305,737","299,517","2,17"
"56,57","13,47","1994,93","482,176","403,318","9,69781","1,76036","250,837","245,069","250,559","1,55"
"47,21","27,31","3007,33","542,92","379,43","9,75308","1,71524","298,714","247,993","301,939","2,13"
"64,03","6,26","2956,2","520,733","391,7","9,93781","1,72009","249,829","252,164","249,481","5,2424634023"
"54,26","17,54","1815,38","453,433","398,156","9,5007","1,77268","249,083","249,618","246,467","2,45"
"55,1","14,2","4228,36","516,968","380,859","8,99977","1,74794","299,927","300,806","297,51","1,78"
"53,04","19,19","1799,89","509,849","397,719","9,2611","1,77071","250,464","252,298","251,075","2,63"
"64,03","6,26","4259,18","425,866","403,991","10,2899","1,60449","300,701","300,5","300,022","1,07"
"55,89","16,46","3788,68","427,047","408,368","9,92237","1,75056","300,936","296,532","299,434","0,94"
56,"13,81","4196,25","510,071","398,184","9,78196","1,75661","300,366","302,864","300,698","1,03"
"59,39","7,74","3481,51","518,872","417,5426888889","9,59962","1,60274","300,626","291,854","301,496","2,53"
"52,14","18,29","3643,05","611,355","399,77","10,0146","1,74232","300,196","297,069","299,587","1,64"
"49,68","24,04","2644,53","524,157","391,081","9,83993","1,71619","299,407","300,23","297,489","3,37"
"55,6","13,79","2496,56","518,668","401,683","9,89618","1,74465","247,988","246,403","248,95","2,24"
"58,82","11,46","3915,04","493,469","404,004","9,78243","1,74291","250,159","249,39","251,367","2,99"
"55,99","15,13","3467,56","595,575","383,233","9,44209","1,75348","298,51","302,594","299,442","3,93"
"49,06","23,19","4501,59","586,544","395,873","9,80412","1,73596","300,421","298,388","298,938","1,65"
"50,7","23,17","3893,2","609,539","399,656","9,70801","1,73759","301,245","304,43","299,634","1,93"
"60,56","6,92","3393,21","406,544","384,449","9,20177","1,74354","300,366","301,593","300,056","1,79"
"59,09","10,44","3612,99","555,542","399,551","9,58071","1,74959","249,214","251,719","249,565","1,39"
"54,91","14,99","3006,44","328,595","377,6950406504","10,0758","1,66473","300,279","300,547","299,487","2,28"
"59,48","8,53","3375,05","491,621","383,707","8,78512","1,66869","300,052","305,168","302,375","2,27"
"64,03","6,26","4785,79","506,395","398,331","10,0381","1,66146","300,295","303,181","300,316","0,85"
"55,1","14,2","3710,44","502,93","389,648","9,00163","1,69292","300,146","293,774","302,344","1,78"
"56,65","14,83","4122,18","509,588","404,217","9,57752","1,71224","250,571","249,923","251,89","4,35"
"58,95","8,94","4759,77","426,025","397,559","9,63882","1,73","251,367","248,291","249,17","3,56"
"57,46","10,8","898,36496","403,183","400,9007","9,9793","1,57084","250,31","301,277","300,857","1,74"
"52,17","19,6","710,9896","460,876","399,139","9,62685","1,56178","299,975","294,156","301,373","2,4"
"48,81","25,31","3093,71","461,965","382,048","9,50465","1,65369","299,927","295,757","297,724","2,6"
"48,81","25,31","3158,51","334,246","377,4449238095","9,61124","1,69003","299,26","294,041","301,211","1,42"
"51,93","21,05","3487,09","564,785","385,593","9,88732","1,71155","299,525","296,997","301,137","3,66"
"60,66","8,25","5377,73","354,98","405,864","10,2634","1,6936","252,4","249,236","249,027","1,17"
"49,57","25,64","2445,3","471,183","403,113","9,74115","1,78777","248,843","252,332","250,6","4,1582801664"
"63,64","3,77","2231,4","405,328","378,524","9,17306","1,70327","300,586","303,06","298,715","1,08"
"57,46","10,8","4155,55","616,6","396,355","10,1219","1,72594","301,046","306,057","301,322","2,02"
"58,19","10,84","2915,92","537,463","402,662","9,54162","1,59053","250,153","250,269","250,615","3,48"
"56,76","13,34","4548,85","508,223","393,873","10,0838","1,72608","300,047","296,311","302,124","1,47"
"55,2","16,98","3221,35","531,494","401,455","10,159","1,66376","250,587","249,994","248,269","1,11"
"58,61","8,99","3920,77","486,834","413,163","10,2506","1,61796","250,478","250,19","249,819","1,3"
"64,03","6,26","2750,18","493,098","401,922","9,72826","1,61977","300,086","299,237","301,732","1,16"
"57,46","10,8","5168,92","497,672","401,761","10,1634","1,72879","301,788","303,791","299,151","5,4622920518"
"48,81","25,31","3793,71","634,629","416,054030303","9,79943","1,7223","301,66","294,38","301,853","2,83"
"64,03","6,26","1816,04","516,093","399,552","9,8582","1,64766","299,53","301,288","302,255","2,2"
"55,4","16,83","3674,7","574,525","398,376","9,91157","1,74508","300,06","297,001","297,949","1,26"
"56,57","13,47","395,080506717","272,0116809862","381,4356426996","9,17847","1,5248212356","192,6567790368","186,2816518106","215,9805714286","1,68"
"55,94","13,85","2228,01","538,898","412,653","9,90272","1,72688","300,167","296,632","299,157","2,58"
"52,61","20,24","4095,15","348,295","401,603","9,72888","1,62086","250,436","251,429","250,971","0,94"
"57,46","10,8","4557,86","568,533","400,136","10,4136","1,73167","251,185","249,968","249,555","1,54"
"45,71","29,15","3970,22","535,835","397,526","10,1619","1,70016","299,858","298,828","301,533","1,76"
"56,47","13,93","2047,66","564,121","394,834","9,66491","1,71637","299,306","307,34","301,292","1,09"
"55,1","15,95","2209,83","566,98","387,598","9,79757","1,71502","300,909","300,584","299,084","3,05"
"48,07","25,01","4265,34","507,035","400,672","9,89104","1,62917","300,414","292,021","297,544","2,07"
"55,87","12,85","1770,81","483,343","394,812","9,51569","1,69011","219,491","222,925","218,071","1,79"
"54,43","17,29","2335,94","532,299","378,228","9,79314","1,71845","298,981","281,358","299,9","1,97"
"54,77","15,21","3721,2","442,839","397,081","10,2224","1,62847","300,526","304,201","297,929","1,7"
"58,08","10,16","677,163","428,159","396,567","9,63856","1,66975","249,906","248,48","252,246","1,59"
"59,81","7,41","3948,66","394,319","380,154","8,91471","1,70069","299,927","301,595","301,322","1,2"
"55,03","17,05","4546,24","703,494","398,3771034483","8,88355","1,71059","300,508","303,967","303,152","1,63"
"64,03","6,26","2013,2671359223","245,5140175439","406,201786802","9,40728","1,5212688292","298,828","280,119","297,862","1,9"
"59,99","6,65","1251,8640191388","383,244","394,518","9,84136","1,519943455","299,812","301,675","302,291","0,96"
"57,46","10,8","4196,24","458,686","397,617","10,2164","1,70879","297,487","301,893","299,931","3,71"
"52,15","21,5","5955,97","526,748","384,77","8,78547","1,67993","299,818","300,808","301,319","4,9565373961"
"59,62","10,43","2376,95","488,892","399,902","9,62872","1,6764","301,025","297,729","300,806","1,61"
"48,77","27,23","2324,18","597,096","399,817","9,93827","1,76392","300,002","303,661","302,351","3,09"
"64,03","6,26","616,2316842105","533,398","398,051","9,98683","1,65477","300,688","296,716","303,223","2,56"
"64,03","6,26","3388,99","472,264","404,439","9,7233","1,64231","299,951","250,545","299,104","0,97"
"59,72","9,22","2422,22","571,569","397,077","9,45593","1,77374","189,725","199,348","200,692","3,11"
"50,58","20,21","3386,6","445,189","394,282","9,94956","1,69256","300,101","295,451","302,611","1,49"
"55,8","13,07","2128,91","579,083","382,653","10,082","1,71444","298,86","295,975","299,802","5,39"
"51,62","19,01","3655,47","674,258","416,9745","10,0087","1,72387","299,607","304,796","299,705","4,5661258482"
"53,51","16,52","2329,28","281,49015","406,6403076923","9,60994","1,5558544","250,149","249,265","250,733","2,54"
"51,3","24,52","4079,16","410,414","404,021","10,0206","1,58491","250,037","243,028","251,274","3,91"
"56,57","13,47","572,6293602015","298,2294467688","379,7209616233","9,15862","1,5284021787","247,484","249,167","248,884","1,68"
"57,46","10,8","3877,07","610,22","406,544","10,253","1,70059","300,226","254,163","302,239","1,69"
"50,7","23,17","3947,18","710,896","414,0310293399","9,65442","1,76054","300,005","295,053","299,565","1,24"
"64,03","6,26","1244,1166666667","493,441","399,754","10,0528","1,65062","302,224","301,739","300,007","0,85"
"52,17","18,69","2062,95","459,769","401,405","9,28662","1,7209","220,253","212,956","219,287","2,29"
"50,8","20,31","3600,29","399,132","407,383","10,1454","1,69325","300,504","293,417","301,315","2,42"
"64,03","6,26","3037,44","413,772","400,72","9,66775","1,55887","250,186","248,038","248,511","4,8474760222"
"48,82","22,32","3835,92","565,358","395,087","10,256","1,71393","299,649","304,159","303,169","1,79"
"52,61","20,24","860,0140416667","495,99","401,314","9,62736","1,67003","249,13","253,623","250,029","1,8"
"62,79","4,2","1913,72","439,921","397,119","9,87992","1,58146","300,45","297,924","299,183","1,74"
"55,64","15,32","1021,2741304348","342,041106383","381,5091336303","8,7542080683","1,53613125","299,487","299,902","298,408","4,14"
