age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34,admin.,single,high.school,no,yes,no,cellular,may,wed,195,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
38,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,fri,565,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
34,services,single,high.school,no,no,no,cellular,nov,wed,174,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
42,services,divorced,high.school,no,yes,yes,cellular,may,thu,874,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
41,admin.,divorced,university.degree,unknown,yes,no,telephone,may,mon,128,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
42,services,married,high.school,no,no,no,telephone,may,wed,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
76,management,married,unknown,no,no,no,cellular,sep,fri,113,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,no
34,technician,married,professional.course,no,yes,no,telephone,may,thu,24,1,999,0,nonexistent,-1.8,93.876,-40.0,0.699,5008.7,no
49,technician,married,professional.course,unknown,yes,no,telephone,jul,thu,219,12,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
51,services,divorced,basic.6y,no,no,yes,cellular,may,thu,122,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
31,services,married,high.school,unknown,no,no,cellular,jul,mon,160,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
33,services,married,high.school,no,no,no,cellular,jul,tue,272,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,blue-collar,married,basic.6y,no,no,no,cellular,may,mon,146,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
56,housemaid,married,university.degree,no,yes,no,cellular,apr,mon,148,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
44,services,single,high.school,no,yes,no,cellular,nov,wed,116,5,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
42,admin.,single,university.degree,no,no,no,telephone,jun,fri,298,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
28,management,married,university.degree,no,yes,yes,cellular,jul,wed,329,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
24,admin.,married,university.degree,no,yes,no,cellular,jul,wed,134,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
42,self-employed,divorced,university.degree,unknown,yes,no,cellular,jul,mon,643,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
54,management,married,university.degree,no,yes,no,cellular,jul,wed,281,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,housemaid,single,basic.9y,no,no,no,cellular,nov,tue,173,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
37,blue-collar,married,basic.6y,no,no,no,cellular,oct,thu,246,5,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
38,management,married,university.degree,unknown,no,no,telephone,may,thu,277,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
37,technician,married,university.degree,no,no,no,cellular,aug,thu,716,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes
53,entrepreneur,married,unknown,no,yes,no,cellular,nov,wed,21,10,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
29,student,single,professional.course,no,no,no,telephone,nov,fri,232,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
58,admin.,married,high.school,no,yes,no,cellular,jul,thu,214,4,999,2,failure,-1.7,94.215,-40.3,0.81,4991.6,no
30,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,275,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
46,management,married,university.degree,no,no,no,cellular,jul,mon,338,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
78,retired,divorced,unknown,no,no,no,cellular,jun,thu,282,4,999,0,nonexistent,-1.7,94.055,-39.8,0.729,4991.6,yes
25,admin.,single,university.degree,no,no,no,cellular,may,tue,80,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
60,admin.,single,university.degree,no,yes,yes,cellular,may,thu,107,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
35,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,184,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
29,admin.,married,university.degree,no,no,no,cellular,may,wed,12,5,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
36,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,wed,123,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
32,admin.,married,high.school,no,no,no,telephone,jun,mon,142,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
35,admin.,single,university.degree,no,no,no,cellular,may,mon,386,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
46,blue-collar,married,basic.6y,unknown,no,no,cellular,may,wed,19,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
56,technician,married,professional.course,no,no,no,cellular,jul,fri,196,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
28,technician,married,basic.9y,no,no,no,cellular,apr,thu,263,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
50,self-employed,married,basic.9y,no,yes,no,cellular,aug,thu,219,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
44,self-employed,married,basic.9y,no,yes,no,telephone,jun,tue,249,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
37,admin.,divorced,university.degree,unknown,yes,no,cellular,may,wed,31,7,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
45,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,200,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
28,technician,single,professional.course,no,yes,no,cellular,jun,tue,318,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
32,unknown,married,basic.6y,unknown,yes,no,telephone,may,tue,290,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
60,housemaid,married,basic.4y,no,no,no,cellular,aug,fri,270,4,6,4,failure,-1.7,94.027,-38.3,0.905,4991.6,no
27,management,single,university.degree,no,yes,no,telephone,may,tue,134,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
46,management,married,basic.9y,no,yes,no,cellular,nov,fri,996,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
37,management,married,university.degree,no,yes,yes,telephone,aug,tue,365,2,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,no
32,blue-collar,single,high.school,no,unknown,unknown,cellular,nov,wed,77,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
30,technician,married,professional.course,no,yes,no,cellular,jul,fri,570,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
37,entrepreneur,married,basic.9y,no,yes,no,cellular,may,mon,346,1,999,2,failure,-1.8,92.893,-46.2,1.299,5099.1,no
48,admin.,divorced,university.degree,no,yes,no,telephone,may,mon,252,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
76,retired,married,university.degree,no,no,no,cellular,aug,fri,233,2,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
25,technician,married,university.degree,no,unknown,unknown,telephone,jul,wed,446,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,304,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35,unknown,married,basic.9y,no,yes,yes,telephone,may,thu,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
50,admin.,married,university.degree,no,yes,no,cellular,aug,tue,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
37,services,single,high.school,no,no,no,cellular,jul,tue,108,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,technician,married,university.degree,no,no,yes,cellular,aug,fri,124,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
38,technician,married,university.degree,no,no,no,telephone,aug,mon,280,10,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
49,management,married,basic.4y,no,yes,no,telephone,may,thu,637,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
26,blue-collar,single,high.school,no,no,no,telephone,nov,fri,201,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,no
43,technician,married,professional.course,no,no,no,telephone,jun,thu,119,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
34,unemployed,married,high.school,no,unknown,unknown,cellular,nov,thu,72,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
40,services,married,high.school,no,no,yes,cellular,jul,mon,162,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
49,management,married,university.degree,no,no,no,cellular,aug,mon,76,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,222,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
40,technician,married,high.school,no,no,no,cellular,aug,mon,115,3,999,0,nonexistent,-2.9,92.201,-31.4,0.821,5076.2,no
38,technician,single,university.degree,no,yes,no,cellular,aug,mon,109,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
31,admin.,single,university.degree,no,yes,yes,cellular,jul,tue,368,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
28,student,single,high.school,no,yes,yes,cellular,jul,mon,154,1,999,2,failure,-1.7,94.215,-40.3,0.827,4991.6,no
38,services,married,high.school,no,no,no,cellular,jul,thu,145,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
57,admin.,married,high.school,no,no,no,cellular,may,wed,644,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
38,admin.,married,high.school,no,no,no,telephone,jun,thu,605,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
43,blue-collar,single,unknown,unknown,no,no,telephone,may,wed,299,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,57,1,999,0,nonexistent,-1.8,93.876,-40.0,0.699,5008.7,no
40,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,fri,356,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
33,management,married,university.degree,no,no,no,cellular,nov,wed,143,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
33,services,single,high.school,unknown,yes,no,cellular,jul,tue,560,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
32,admin.,married,university.degree,no,no,no,cellular,aug,fri,133,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
46,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,wed,1357,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
40,admin.,married,university.degree,no,yes,no,cellular,aug,wed,335,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
57,blue-collar,divorced,basic.6y,unknown,yes,yes,cellular,jul,tue,329,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
59,admin.,married,high.school,no,yes,no,telephone,may,thu,285,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
30,admin.,divorced,basic.6y,no,no,no,cellular,jul,wed,144,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
45,admin.,married,university.degree,no,no,yes,cellular,nov,wed,158,1,999,1,failure,-3.4,92.649,-30.1,0.715,5017.5,no
35,blue-collar,married,basic.9y,no,yes,no,telephone,oct,tue,4,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,no
32,technician,divorced,professional.course,no,no,no,cellular,nov,tue,288,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
30,services,married,high.school,no,yes,no,telephone,jun,fri,51,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31,blue-collar,single,high.school,no,no,no,telephone,jun,fri,672,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31,blue-collar,single,basic.9y,unknown,yes,no,telephone,jun,tue,409,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
26,management,single,university.degree,unknown,yes,no,cellular,jul,wed,124,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
34,technician,married,high.school,no,yes,no,cellular,aug,fri,107,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
59,unemployed,married,basic.4y,unknown,yes,no,cellular,jul,thu,458,9,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
29,admin.,single,university.degree,no,yes,no,telephone,may,fri,22,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
32,entrepreneur,married,high.school,no,no,no,telephone,may,fri,248,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
59,retired,married,university.degree,no,yes,no,cellular,aug,thu,77,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
40,technician,married,professional.course,no,no,no,telephone,jun,fri,37,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
32,blue-collar,married,basic.4y,unknown,no,yes,telephone,jul,wed,990,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
25,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,59,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
31,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu,176,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
38,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,149,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
45,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,107,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
58,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,80,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
39,management,single,university.degree,no,no,no,telephone,may,fri,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
32,blue-collar,single,basic.4y,no,no,no,cellular,nov,thu,113,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
27,blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,191,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
40,blue-collar,married,basic.9y,unknown,yes,yes,cellular,may,wed,777,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
33,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,16,10,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
42,services,divorced,university.degree,no,unknown,unknown,cellular,nov,tue,262,1,999,1,failure,-1.1,94.767,-50.8,1.046,4963.6,yes
33,blue-collar,married,basic.4y,no,no,no,telephone,may,fri,33,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
19,student,single,basic.6y,no,yes,yes,cellular,sep,thu,452,5,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
46,admin.,single,university.degree,no,yes,no,telephone,jun,mon,24,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
27,student,single,high.school,no,yes,no,cellular,jul,fri,100,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
54,management,married,university.degree,no,yes,no,cellular,jul,mon,224,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38,management,single,university.degree,no,no,no,cellular,may,wed,123,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,no
47,management,married,university.degree,no,no,no,cellular,nov,fri,107,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
25,admin.,married,university.degree,no,no,no,telephone,jun,mon,121,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
51,management,married,university.degree,unknown,no,no,cellular,jul,thu,901,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
40,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,105,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
32,admin.,married,high.school,unknown,yes,no,telephone,may,mon,35,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
52,admin.,married,high.school,no,yes,yes,cellular,aug,wed,352,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
29,technician,married,university.degree,no,yes,no,cellular,jul,wed,115,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
42,blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,119,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38,admin.,married,high.school,no,unknown,unknown,telephone,may,tue,145,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34,technician,divorced,professional.course,no,no,no,telephone,aug,fri,336,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
42,self-employed,married,unknown,no,yes,no,cellular,jul,mon,685,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
33,admin.,single,professional.course,no,yes,no,cellular,may,mon,1340,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
24,technician,single,professional.course,no,yes,no,cellular,jul,mon,607,3,13,1,success,-1.7,94.215,-40.3,0.889,4991.6,yes
32,services,divorced,basic.9y,unknown,no,no,cellular,jul,wed,68,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
54,technician,married,unknown,unknown,no,no,telephone,may,fri,111,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
30,admin.,single,high.school,no,yes,no,cellular,jul,fri,72,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
47,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,95,8,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35,admin.,married,high.school,unknown,no,no,cellular,may,fri,585,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
42,blue-collar,married,basic.4y,no,yes,no,cellular,apr,mon,257,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
56,technician,married,professional.course,unknown,yes,no,telephone,may,thu,124,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
39,unemployed,married,professional.course,no,no,yes,telephone,may,tue,277,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
46,housemaid,married,basic.4y,unknown,yes,no,cellular,jul,mon,31,20,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
32,admin.,single,university.degree,no,no,no,cellular,nov,thu,40,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
31,admin.,single,university.degree,no,yes,no,cellular,aug,thu,202,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,technician,married,high.school,no,yes,no,cellular,aug,tue,385,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
49,services,married,high.school,no,no,no,cellular,aug,tue,344,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
42,admin.,married,unknown,no,no,no,cellular,nov,mon,657,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
40,technician,married,professional.course,no,no,no,telephone,may,wed,568,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
52,admin.,divorced,university.degree,no,yes,no,cellular,nov,thu,202,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
88,retired,divorced,basic.4y,no,yes,yes,cellular,mar,wed,82,2,999,0,nonexistent,-1.8,92.843,-50.0,1.663,5099.1,no
28,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,159,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
42,admin.,married,university.degree,no,no,no,cellular,jun,thu,160,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
39,admin.,married,university.degree,no,no,no,cellular,nov,tue,123,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
31,admin.,divorced,high.school,no,no,no,telephone,may,mon,488,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39,technician,divorced,professional.course,no,yes,no,cellular,aug,fri,445,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
32,self-employed,married,university.degree,no,no,yes,cellular,may,mon,133,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
46,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,76,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
56,management,divorced,university.degree,no,no,no,telephone,jun,mon,252,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
51,blue-collar,single,basic.4y,unknown,yes,no,telephone,jul,wed,70,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
54,management,married,university.degree,unknown,yes,no,telephone,jul,thu,11,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
27,services,married,high.school,no,no,no,cellular,jul,wed,151,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
49,admin.,divorced,university.degree,no,yes,no,cellular,apr,thu,347,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
81,retired,married,professional.course,no,yes,no,cellular,apr,thu,99,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
39,admin.,single,university.degree,no,yes,no,cellular,aug,mon,114,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38,admin.,married,high.school,no,no,no,telephone,jun,mon,117,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
38,admin.,single,university.degree,no,yes,no,cellular,mar,mon,69,1,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,no
36,admin.,married,university.degree,no,yes,no,cellular,jul,tue,716,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
34,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,239,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
40,blue-collar,married,basic.6y,no,yes,no,cellular,jul,mon,62,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
44,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu,113,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
41,management,married,university.degree,no,no,no,cellular,nov,mon,696,2,7,3,failure,-3.4,92.649,-30.1,0.715,5017.5,yes
45,technician,divorced,unknown,unknown,no,no,cellular,jul,fri,64,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,technician,married,basic.9y,no,yes,no,telephone,jun,fri,235,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
20,technician,single,unknown,no,no,no,cellular,jun,mon,441,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
57,management,married,university.degree,no,no,no,cellular,may,wed,1205,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
60,retired,married,basic.9y,unknown,no,no,cellular,aug,wed,707,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
